winner,turns,largest_army,longest_road,points_0,points_1,points_2,points_3,smart,trial
0.0,173,3.0,2.0,10,5,6,8,0,536
2.0,199,,1.0,3,8,10,2,2,537
2.0,135,2.0,3.0,4,4,10,6,0,538
,200,3.0,2.0,4,4,7,6,1,539
2.0,151,0.0,0.0,9,5,11,2,0,540
,200,,3.0,3,5,2,6,3,541
0.0,117,0.0,0.0,11,5,3,2,2,542
1.0,86,,1.0,4,10,4,3,1,543
3.0,184,,3.0,3,5,4,11,3,544
2.0,127,,2.0,4,4,10,3,1,545
2.0,91,2.0,2.0,2,4,10,3,2,546
1.0,162,,1.0,3,10,6,4,1,547
2.0,199,,2.0,7,5,10,8,2,548
1.0,122,2.0,0.0,9,11,4,6,0,549
0.0,117,,0.0,10,2,6,2,2,550
2.0,87,,0.0,7,2,10,2,0,551
3.0,164,,0.0,5,3,6,10,2,552
3.0,128,,1.0,3,8,3,10,0,553
3.0,160,3.0,0.0,6,2,3,10,0,554
0.0,93,,0.0,10,7,2,3,0,555
1.0,130,,2.0,5,11,8,7,3,556
2.0,187,,2.0,5,5,10,9,3,557
3.0,76,,0.0,6,2,2,10,0,558
2.0,159,2.0,1.0,2,8,11,6,3,559
3.0,108,,3.0,6,2,3,10,3,560
3.0,100,3.0,2.0,4,5,9,10,0,561
1.0,142,,1.0,9,10,2,3,1,562
2.0,151,,0.0,7,5,10,3,2,563
1.0,190,1.0,1.0,3,10,5,6,1,564
0.0,105,1.0,0.0,10,7,3,2,0,565
1.0,158,1.0,1.0,3,10,7,8,2,566
1.0,86,,1.0,2,10,3,3,1,567
1.0,142,,1.0,4,10,5,6,3,568
,200,0.0,2.0,5,8,6,5,2,569
2.0,111,,2.0,4,2,10,7,3,570
